# 软件所 提交列表（纯文本视图）
# 共 329 个提交
# 生成时间: 2026-09-22 16:21:13
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
1135ff69 | 2026-08-27 | Chen Wang | riscv: remove k1_defconfig
9cc2e3ef | 2025-04-02 | Will Pierce | riscv: Use kvmalloc_array on relocation_hashtable
1871180d | 2024-11-28 | Clément Léger | riscv: module: remove relocation_head rel_entry member allocation
7a774e2d | 2024-01-04 | Charlie Jenkins | riscv: Fix relocation_hashtable size
775537cf | 2024-01-04 | Charlie Jenkins | riscv: Correctly free relocation hashtable on error
b46a89f9 | 2024-01-04 | Charlie Jenkins | riscv: Fix module loading free order
7068452f | 2025-04-09 | Samuel Holland | riscv: module: Allocate PLT entries for R_RISCV_PLT32
b0bf41b4 | 2023-11-27 | Charlie Jenkins | riscv: Correct type casting in module loading
7f2fe461 | 2023-11-27 | Charlie Jenkins | riscv: Safely remove entries from relocation list
51243f67 | 2023-11-07 | Palmer Dabbelt | RISC-V: Don't rely on positional structure initialization
d8b53315 | 2023-11-01 | Charlie Jenkins | riscv: Add remaining module relocations
0d82770d | 2023-11-01 | Emil Renner Berthing | riscv: Avoid unaligned access when relocating modules
afcf0d19 | 2026-07-14 | Mingzheng Xing | Revert "riscv: kernel: Optimize apply_relocate_add()"
c2642289 | 2026-04-03 | Chen Pei | riscv: vdso_cfi: Add clean rule for copied sources
e47a77eb | 2026-03-30 | jichuan Feng | riscv: k1: add OrangePi RV2 device tree
85ba41f8 | 2026-03-30 | jichuan Feng | riscv: k1: add Milk-V Jupiter device tree
f86f1fa0 | 2026-03-30 | jichuan Feng | riscv: k1: add MUSE Pi device tree
5495f095 | 2026-03-24 | jichuan Feng | riscv: k1: add MUSE Pi Pro device tree
cf294245 | 2025-12-11 | Mingzheng Xing | th1520-i2s: Fix kernel panic when reading sysfs registers
8eda2ea4 | 2025-02-26 | Yunhui Cui | RISC-V: hwprobe: Expose Zicbom extension and its block size
eefd97dc | 2024-09-13 | Miquel Sabaté Solà | riscv: hwprobe: export Zicntr and Zihpm extensions
2f1ddaca | 2023-10-12 | Björn Töpel | riscv, qemu_fw_cfg: Add support for RISC-V architecture
8778d118 | 2025-08-19 | Yafen Fang | xuantie: nna: select SYNC_FILE
